,r_AA,r_CAA,r_AA_mean_portfolio,r_equal_weights_portfolio
0,1.0072928834694053,1.003899928354571,1.0078964031510025,1.0078964031510032
5,1.003868686611495,1.0015381721266656,1.0078964031510025,1.0078964031510032
10,0.9997986382772385,0.9985555564586825,1.0078964031510025,1.0078964031510032
15,0.9950761247049196,0.9949955666542601,1.0078964031510025,1.0078964031510032
20,0.9896583596078335,0.990897416819197,1.0078964031510025,1.0078964031510032
25,0.9835368074303216,0.9863623912622524,1.0078964031510025,1.0078964031510032
30,0.9768878826739021,0.9817000892307627,1.0078964031510025,1.0078964031510032
35,0.9705115396033441,0.9766034732702441,0.9947956558137895,1.0078964031510032
40,0.9648739552959615,0.9715903528123642,0.9947956558137895,1.0078964031510032
45,0.958238698783705,0.9659392626431753,0.9903622606899652,1.0078964031510032
50,0.954131413222286,0.96269143563649,0.9903622606899652,1.0078964031510032
55,0.9521310216257907,0.9616152713961995,0.9839203221076076,1.0078964031510032
60,0.9500718288739289,0.9602893417898548,0.9864646147918148,1.0078964031510032
65,0.947236766986033,0.9581631267558727,0.9838356403390184,1.0078964031510032
70,0.9444239554565432,0.9562458711817369,0.9818615601422146,1.0078964031510032
75,0.9421188515262985,0.9544114677118616,0.9788679958093024,1.0078964031510032
80,0.940174570703943,0.9527325423392365,0.9788679958093024,1.0078964031510032
85,0.9383781091990059,0.9513055455591215,0.9781154071784673,1.0078964031510032
90,0.9373725344057509,0.9506333011881047,0.9702813930146504,1.0078964031510032
95,0.9366853475827472,0.950218789445042,0.9670788851343824,1.0078964031510032
100,0.9360842007655971,0.9498887523058606,0.9670788851343824,1.0078964031510032
105,0.9343376723725444,0.9484088970427901,0.9586362216410493,1.0078964031510032
110,0.9339706887035252,0.9485231151924898,0.9596623141816973,1.0078964031510032
115,0.933573608677845,0.948616638640163,0.9596623141816973,1.0078964031510032
120,0.9331334068298124,0.9486615686905281,0.9596623141816973,1.0078964031510032
125,0.9325803993378298,0.9485783248471555,0.9596623141816973,1.0078964031510032
130,0.9173914523869554,0.9335805979140366,0.9488764516872564,1.0078964031510032
135,0.9168454366987641,0.9334226462369238,0.9488764516872564,1.0078964031510032
140,0.9163221943950448,0.9332508433041498,0.9488764516872564,1.0078964031510032
145,0.9289981210235774,0.9464873248976304,0.976090652428719,1.0078964031510032
150,0.9285120723034199,0.9462790457052209,0.976090652428719,1.0078964031510032
155,0.9280436436386995,0.946051347651259,0.9748413501603881,1.0078964031510032
160,0.9275843100137611,0.9458004403662489,0.9748413501603881,1.0078964031510032
165,0.9271290671448512,0.9455253324801465,0.9748413501603881,1.0078964031510032
170,0.9266717863375592,0.9452268691823401,0.973103655002572,1.0078964031510032
175,0.926210589461238,0.9449104625183821,0.973103655002572,1.0078964031510032
180,0.9257599010138866,0.9445927193114898,0.9710944050341401,1.0078964031510032
185,0.9253382599445953,0.9442962704512197,0.9717429889516158,1.0078964031510032
190,0.9249754116247462,0.9440535847379596,0.9717429889516158,1.0078964031510032
195,0.9247158194605273,0.9439104098955228,0.9717429889516158,1.0078964031510032
200,0.9244940367389867,0.9437916373807396,0.9735516123684229,1.0078964031510032
205,0.9242727460328827,0.9436784015081632,0.972348097203754,1.0078964031510032
210,0.9236710414871284,0.9431839750455173,0.9758089878777958,1.0078964031510032
215,0.9231390246706842,0.9427816034649932,0.9757768200375228,1.0078964031510032
220,0.9226940953594022,0.9425101354519141,0.9734924911375625,1.0078964031510032
225,0.9222706658323082,0.942366098551543,0.9734924911375625,1.0078964031510032
230,0.9221627488565718,0.9423813204153019,0.9724583175133517,1.0078964031510032
235,0.9222805066420761,0.9426281840307089,0.9721836565776835,1.0078964031510032
240,0.9226909443400999,0.9432300701779172,0.9721888741027843,1.0078964031510032
245,0.9232966271467,0.9441016025436004,0.9721888741027843,1.0078964031510032
250,0.9237761876982434,0.9449631903137456,0.9724724424285286,1.0078964031510032
255,0.9237288917971265,0.9454618836533533,0.9736687961907453,1.0078964031510032
260,0.9244928863484037,0.9465922184662795,0.9757703235658489,1.0078964031510032
265,0.9245238155163883,0.9470304901002601,0.9760474534757414,1.0078964031510032
270,0.923256609957918,0.9462603200267866,0.9766975270142376,1.0078964031510032
275,0.9259474504896172,0.948808747637963,0.9747487529691841,1.0078964031510032
280,0.9272142127199859,0.9502665801492811,0.9746295807780498,1.0078964031510032
285,0.9285245987564258,0.9516787713453231,0.9745841782060217,1.0078964031510032
290,0.9300879864012924,0.9531894034436114,0.9761382151615091,1.0078964031510032
295,0.932576276106755,0.9551089006988419,0.9779554390998065,1.0078964031510032
300,0.9549945930871242,0.9661774196848433,0.9862938481065978,1.0078964031510032
305,0.9549537100042143,0.9666295259869466,0.9882071538203001,1.0078964031510032
310,0.9591006865080027,0.9713717570632934,0.9955125610222849,1.0078964031510032
315,0.9590286225783329,0.9719013967225002,0.9947901084173202,1.0078964031510032
320,0.9585132537076134,0.9720478590370517,0.9973480258041875,1.0078964031510032
325,0.9575972083751741,0.9716830769606672,0.9990270976848173,1.0078964031510032
330,0.9556102066987375,0.9685081937812188,0.9967479458424837,1.0078964031510032
335,0.9558065420188998,0.9691776307309629,0.9967479458424837,1.0078964031510032
340,0.9556715031526399,0.9692274389488685,0.9981162903254551,1.0078964031510032
345,0.9556165501313317,0.9693601438343195,0.9981221157698189,1.0078964031510032
350,0.955879069687801,0.9697435363593178,0.9984770476472572,1.0078964031510032
355,0.9554618127822168,0.96904692871801,0.9983047545320637,1.0078964031510032
360,0.9555369500230252,0.9694205254425966,0.9983047545320637,1.0078964031510032
365,0.9537354239597934,0.9678951892850346,0.9890193861390713,1.0078964031510032
370,0.9543588764805498,0.9688507196223514,0.9866429607871643,1.0078964031510032
375,0.9501138677039087,0.9669638006472603,0.9799596866264031,1.0078964031510032
380,0.9498283168659979,0.9669422838995972,0.9799596866264031,1.0078964031510032
385,0.9495657007033932,0.966957277109267,0.9804800957199528,1.0078964031510032
390,0.9493379747360441,0.9670340339634773,0.9804800957199528,1.0078964031510032
395,0.9491711886514426,0.9672382573023908,0.980538527068169,1.0078964031510032
400,0.9496419183442233,0.9682610171538379,0.986663070495997,1.0078964031510032
405,0.9500564175399767,0.9735072171260072,0.9887890897258491,1.0078964031510032
410,0.9478033759901265,0.9722229027308626,0.9899454292836128,1.0078964031510032
415,0.9477179422816928,0.9721268912192277,0.9901738946830727,1.0078964031510032
420,0.947754890880886,0.9719605794254329,0.9887073721275467,1.0078964031510032
425,0.947995278958004,0.9714773396688284,0.9887073721275467,1.0078964031510032
430,0.9471552292438575,0.9697412790251599,0.9855639002572698,1.0078964031510032
435,0.943023427258146,0.9687927945778237,0.9819719373288691,1.0078964031510032
440,0.9434504941377179,0.9692062077157392,0.9815532021280857,1.0078964031510032
445,0.9453985229932478,0.9707515678482431,0.9815532021280857,1.0078964031510032
450,0.9562500971999364,0.9820624729426543,0.9892010954382978,1.0078964031510032
455,0.9556137645223007,0.9816562887853549,0.9841185054491918,1.0078964031510032
460,0.9555819103362053,0.9817617768823915,0.9840296608709792,1.0078964031510032
465,0.955562572853747,0.981914930533289,0.9840296608709792,1.0078964031510032
470,0.9554840497156974,0.982085886625857,0.9835207087594281,1.0078964031510032
475,0.9527364692307915,0.9810731033534876,0.9857911717324974,1.0078964031510032
480,0.9526686669715487,0.9813887171862282,0.9857911717324974,1.0078964031510032
