,shr_AA,shr_CAA,shr_mean_portfolio,shr_equal_weights_portfolio
0,0.007059009642076747,0.0056804433726872815,0.007588206086355321,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
5,0.0039721827684920915,0.0024176426874967893,0.007588206086355321,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
10,0.0002271304551778936,-0.0017177808875990005,0.007588206086355321,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
15,-0.004083932724163612,-0.006442909636477068,0.007588206086355321,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
20,-0.008867377232436024,-0.011432784951061209,0.007588206086355321,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
25,-0.013922182099472548,-0.016217431087188608,0.007588206086355321,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
30,-0.018700863272804086,-0.01998071498593498,0.007588206086355321,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
35,-0.0235971042733289,-0.024959115480151898,-0.003895530478269951,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
40,-0.028016758145506544,-0.030131741657994825,-0.003895530478269951,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
45,-0.03288198856447449,-0.03528904146097859,-0.007597614136192192,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
50,-0.03572171721580959,-0.03749762938271398,-0.007597614136192192,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
55,-0.0366153962732107,-0.037392238484611526,-0.013129096576632028,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
60,-0.03762817315702796,-0.03771014980668086,-0.010705379730227563,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
65,-0.039393061766436366,-0.03900231384978316,-0.012493739096393718,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
70,-0.04110920214392306,-0.04002266978665683,-0.014121248338784082,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
75,-0.04237343201371758,-0.041084982649712484,-0.016664229315326774,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
