,shr_AA,shr_CAA,shr_mean_portfolio,shr_equal_weights_portfolio
0,0.003875084948043232,0.006344050562450232,0.007588206086355321,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
5,0.016349927334738078,0.022927024450241383,0.007588206086355321,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
10,0.020812967328811004,0.026680767475022862,0.007588206086355321,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
15,0.0230405404768907,0.028232410986148676,0.007588206086355321,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
20,0.0244635334396402,0.029160493548731927,0.007588206086355321,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
25,0.025377147054066674,0.02988475897088493,0.007588206086355321,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
30,0.025908787512864594,0.030429312116692298,0.007588206086355321,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
35,0.025950003657398926,0.03087320555554542,-0.003895530478269951,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
40,0.025483199669512045,0.03168617526091439,-0.003895530478269951,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
45,0.02451648297988182,0.034188968598909054,-0.007597614136192192,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
50,0.024392768912637395,0.0339399632963071,-0.007597614136192192,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
55,0.024259988423262394,0.03353716105723907,-0.013129096576632028,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
60,0.024019610737401127,0.03292884210001479,-0.010705379730227563,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
65,0.023178620785881943,0.03155161091335341,-0.012493739096393718,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
70,0.019814771832242863,0.026806502326670027,-0.014121248338784082,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
75,0.01952817408045202,0.026293444786116643,-0.016664229315326774,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
80,0.019387036910231137,0.02595940365040609,-0.016664229315326774,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
85,0.019423507833848743,0.0259337865914344,-0.01727862426094474,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
90,0.021166026287104588,0.029050961096043784,-0.02332695612589378,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
95,0.010362525952047359,0.021931730418930918,-0.025262198132605006,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
100,0.011658810884095832,0.022740740817552414,-0.02423664898215859,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
105,0.011413499994118528,0.023455109669052048,-0.03047777725842462,"1        -8.080142e-05
2        -1.243241e-05
3        -9.324474e-06
4        -1.554100e-05
5         7.149016e-05
              ...     
524155    7.356563e-06
524156    2.167693e-17
524157   -3.461651e-06
524158   -1.730887e-06
524159   -2.206920e-05
Name: return_equal_weights, Length: 328865, dtype: float64"
