,r_AA,r_CAA,r_AA_mean_portfolio,r_equal_weights_portfolio
0,1.005775010168685,1.009322855988205,1.0012184664780586,1.0012184664780586
5,1.01996989208631,1.024154377654663,1.0012184664780586,1.0012184664780586
10,1.028195514445931,1.033935519900854,1.0012184664780586,1.0012184664780586
15,1.030323309186102,1.0379726913504301,1.0012184664780586,1.0012184664780586
20,1.0289876768121937,1.038436344946142,1.0012184664780586,1.0012184664780586
25,1.0263290282650916,1.0372874577873312,1.0012184664780586,1.0012184664780586
30,1.0230364873900841,1.0353005133976734,1.0012184664780586,1.0012184664780586
35,1.020456475870111,1.0332253752114717,0.9992785204771758,1.0012184664780586
40,1.0179745910649243,1.0307911045126137,0.9990499479969149,1.0012184664780586
45,1.0164513616645028,1.0261451119780882,0.9887854437802498,1.0012184664780586
50,1.0143806274219056,1.0258153891543833,0.9871911166480234,1.0012184664780586
55,1.012463730604253,1.0250901154014187,0.9817552620387262,1.0012184664780586
60,1.0106071978942415,1.0236205303751145,0.9809953027686518,1.0012184664780586
65,1.0074234680017713,1.0200712338510936,0.979442404778883,1.0012184664780586
70,0.9943664158888915,1.0070644094370549,0.9769519587112123,1.0012184664780586
75,0.9922936691653681,1.0047818124875088,0.9754100724435247,1.0012184664780586
80,0.9899879528129342,1.0025051460721117,0.9755658541024251,1.0012184664780586
85,0.9873409858162969,1.0002509561452424,0.9749602924214937,1.0012184664780586
90,0.9834484941534403,0.9977511806959278,0.9718650135633253,1.0012184664780586
95,0.9790516807002522,0.9956813390144884,0.9702945609055642,1.0012184664780586
100,0.9783471266099669,0.9946558236464516,0.9702945609055642,1.0012184664780586
105,0.9818604661955345,1.0012814540264785,0.9635852387156867,1.0012184664780586
110,0.9828598006724031,1.001038300246823,0.9635852387156867,1.0012184664780586
115,0.9872758181221494,1.0076664791016527,0.9625812973326296,1.0012184664780586
120,0.9875443850474221,1.0101787062004242,0.9643284081310082,1.0012184664780586
125,0.985173109719051,1.009175855964811,0.9643284081310082,1.0012184664780586
130,0.9655858007071266,0.9945348882291407,0.961816191681633,1.0012184664780586
135,0.9578486501893093,0.9889650425675894,0.9616913879825496,1.0012184664780586
140,0.9565339273835513,0.9900847995518801,0.9602769601532133,1.0012184664780586
145,0.9577858346226811,0.990269541310949,0.9656045333703615,1.0012184664780586
150,0.957193968040243,0.9890797447879164,0.9672457539850916,1.0012184664780586
155,0.9557785271859245,0.9865552280712179,0.9687611351221218,1.0012184664780586
160,0.9550704203617741,0.986622851119363,0.9701960235180259,1.0012184664780586
165,0.9592151166360324,0.9909100757607285,0.9722964039239047,1.0012184664780586
170,0.9612610802384913,0.9958925899103664,0.9663698308278917,1.0012184664780586
175,0.960495662148501,0.9959393471998836,0.9676816364844232,1.0012184664780586
180,0.9630529457963718,0.9987952721111271,0.9664865237633211,1.0012184664780586
185,0.9589457942172083,0.9943541817360123,0.9689019930693089,1.0012184664780586
190,0.9617652277178504,0.9938702075671306,0.9665337381281176,1.0012184664780586
195,0.9628737634426366,0.9917044809536285,0.9679938337892355,1.0012184664780586
200,0.9723321067176881,0.9993869032810608,0.9806964387607618,1.0012184664780586
205,0.9685811412964035,0.9946116315187622,0.9814118012377218,1.0012184664780586
210,0.9648143980479755,0.9914962958044302,0.9766100400650058,1.0012184664780586
215,0.9655004634728833,0.9925143743522782,0.9772826879326023,1.0012184664780586
220,0.9621867067794161,0.988921726558814,0.9688868528203299,1.0012184664780586
225,0.9810778744513571,1.0059151928939598,0.9872228426821118,1.0012184664780586
230,0.9903720865936813,1.0132031498322482,0.991534332340321,1.0012184664780586
235,0.9866500275544576,1.0099994951932165,0.9898533945795275,1.0012184664780586
240,0.9900646174986591,1.0111555315445904,0.9951460188208995,1.0012184664780586
245,0.997022294086768,1.0147939247219562,0.998750956396447,1.0012184664780586
250,1.0065227490642614,1.0193818246490007,1.008692510301266,1.0012184664780586
255,1.0100768909267164,1.0206283930682758,1.0099851942353884,1.0012184664780586
260,1.0080639632158706,1.0179110484728162,1.0107556668191735,1.0012184664780586
265,0.9952600700687055,1.0055197277659886,1.0013256192138775,1.0012184664780586
270,0.9890275219621829,0.9996910830199538,0.9961215290754948,1.0012184664780586
275,0.9868194568117712,0.9952346414197484,0.9939546773866672,1.0012184664780586
280,0.9875197909690248,0.9965533657071777,0.9949056824460294,1.0012184664780586
285,0.9887959294065276,0.9962617668564742,0.9973667073393784,1.0012184664780586
290,0.9942558615324505,0.9974183344540872,1.0009414836862702,1.0012184664780586
295,0.9925299042441894,0.9962020372221423,1.00045708354247,1.0012184664780586
300,0.9849128730874612,0.9837404880017238,0.9915637955414193,1.0012184664780586
305,0.9736947719642736,0.9752820562530362,0.9806211491055274,1.0012184664780586
310,0.9748787201225878,0.9757104579937441,0.9821510221761529,1.0012184664780586
315,0.978676890003857,0.979527516840288,0.9837893678971718,1.0012184664780586
320,0.9827580482371229,0.9835637243536716,0.9889370668534178,1.0012184664780586
325,0.9808442492891882,0.9838555086346747,0.9862207042991123,1.0012184664780586
330,0.9811689220564149,0.9838797342837021,0.9846486805625322,1.0012184664780586
335,0.9856476521467544,0.9898092236827075,0.9867008464405786,1.0012184664780586
340,1.0026226428310052,1.0050920335118732,1.0056004227830024,1.0012184664780586
345,0.9959069056303484,1.0002648819350946,0.9998694455132927,1.0012184664780586
350,0.9960319917817958,1.0003094599259459,1.0015155648904934,1.0012184664780586
355,0.9997235081075388,1.0083966749621986,1.0043988452262098,1.0012184664780586
360,0.9925657462893174,1.0063704700743723,0.9974501791874454,1.0012184664780586
365,0.9798318880443038,0.9978732127786443,0.9814619309772128,1.0012184664780586
370,0.9672918119486502,0.9879008717648564,0.9693046855736254,1.0012184664780586
375,0.9720292988055428,0.9922299970197627,0.974839659334486,1.0012184664780586
380,0.9954999471724576,1.0081683067364264,0.9880731782914746,1.0012184664780586
385,0.9876494228998318,0.9997659502164339,0.9806799910324859,1.0012184664780586
390,0.989646227612306,1.0024999491904574,0.9864174954995347,1.0012184664780586
395,0.9955807185049171,1.0023529700492448,0.9948329707400669,1.0012184664780586
400,0.9970467490646305,1.003314550542558,0.9948855173222859,1.0012184664780586
405,0.9975491369072692,1.0033704834775212,0.9959701305560356,1.0012184664780586
410,0.9943854023499227,1.0011717894825907,0.997309558578877,1.0012184664780586
415,0.991124399380251,0.9994351111244719,0.9943782498617935,1.0012184664780586
420,0.9915955024310725,1.000784834418494,0.9934804116310716,1.0012184664780586
425,1.0020794043608798,1.009833409572035,1.0035334842392156,1.0012184664780586
430,0.9964444336941327,1.006957661358883,0.9987034209085514,1.0012184664780586
