,r_AA,r_CAA,r_AA_mean_portfolio,r_equal_weights_portfolio
0,1.0003324374089988,1.0004417039423523,1.0012184664780586,1.0012184664780586
5,0.9957862256112036,0.9970264408776137,1.0012184664780586,1.0012184664780586
10,0.9910650207751575,0.9935696261143107,1.0012184664780586,1.0012184664780586
15,0.9861322621899452,0.9899820533274338,1.0012184664780586,1.0012184664780586
20,0.9808994857323314,0.9861525753757069,1.0012184664780586,1.0012184664780586
25,0.9752946093604691,0.9819925148876641,1.0012184664780586,1.0012184664780586
30,0.9693789065505948,0.9774861798237195,1.0012184664780586,1.0012184664780586
35,0.9622910053889365,0.971877342548386,0.9992785204771758,1.0012184664780586
40,0.9545600442240849,0.9654028049338021,0.9990499479969149,1.0012184664780586
45,0.9464309738540727,0.9592761879541835,0.9887854437802498,1.0012184664780586
50,0.9403135148685952,0.9559817026771623,0.9871911166480234,1.0012184664780586
55,0.9364560934812501,0.9537615302121133,0.9817552620387262,1.0012184664780586
60,0.9336535862655296,0.952719032771046,0.9809953027686518,1.0012184664780586
65,0.9316123245302382,0.9512702690295903,0.979442404778883,1.0012184664780586
70,0.9301744725035744,0.9504248085178676,0.9769519587112123,1.0012184664780586
75,0.9287688384196616,0.9495301904036658,0.9754100724435247,1.0012184664780586
80,0.9272423718543887,0.9484951447437311,0.9755658541024251,1.0012184664780586
85,0.9258623154576454,0.9474243857315067,0.9749602924214937,1.0012184664780586
90,0.9259823696311061,0.9473838011820116,0.9718650135633253,1.0012184664780586
95,0.9256730124801329,0.9474225293339238,0.9702945609055642,1.0012184664780586
100,0.9250939394119446,0.9475164226705374,0.9702945609055642,1.0012184664780586
105,0.9264414669057366,0.9486281427065335,0.9630295779411783,1.0012184664780586
110,0.9277340129567421,0.9494647643454933,0.9636069981186269,1.0012184664780586
115,0.9288540927461829,0.9500849346002893,0.9636069981186269,1.0012184664780586
120,0.9297646420453023,0.9504612072634456,0.9635613161382467,1.0012184664780586
125,0.930482135149031,0.9506147277898487,0.9635613161382467,1.0012184664780586
130,0.9314324866367244,0.9509592654864111,0.9610727450742987,1.0012184664780586
135,0.9322462912306606,0.9503077118354236,0.9606283763694107,1.0012184664780586
140,0.9330913989200276,0.9490107443372395,0.9606283763694107,1.0012184664780586
145,0.9342552931927209,0.9466645299615533,0.9647521760643742,1.0012184664780586
150,0.9353327989936522,0.9475202377965765,0.9647521760643742,1.0012184664780586
155,0.9363772264524487,0.9483401024344293,0.96291014204074,1.0012184664780586
160,0.9374158742560058,0.9491214508271361,0.96291014204074,1.0012184664780586
165,0.9385381200760377,0.9498727368669831,0.96291014204074,1.0012184664780586
170,0.939562024865052,0.9507911626000562,0.9620689325407995,1.0012184664780586
175,0.9399950610236593,0.9514604605778089,0.9620689325407995,1.0012184664780586
180,0.9403413110104946,0.9521183268555595,0.9630986215113875,1.0012184664780586
185,0.9406010971409675,0.9527587585814209,0.963638387732558,1.0012184664780586
190,0.9407129120783274,0.9533141447801579,0.9619817952153841,1.0012184664780586
195,0.940599962682921,0.9536958705205583,0.9619817952153841,1.0012184664780586
200,0.9404096559733389,0.9540363882788605,0.9595347250705298,1.0012184664780586
205,0.9400142797520568,0.954275021496892,0.957922749511161,1.0012184664780586
210,0.9385498249790813,0.9537541639472011,0.9584083086754435,1.0012184664780586
215,0.9369070557507018,0.9531399594374498,0.960630179439997,1.0012184664780586
220,0.9351885294825572,0.9524981582871399,0.9560327353209996,1.0012184664780586
225,0.9334516621142926,0.951856276040651,0.9581835908847609,1.0012184664780586
230,0.9316765215403414,0.9510793545833808,0.957785381898152,1.0012184664780586
235,0.9300059584253493,0.9503038910683398,0.9577860164254386,1.0012184664780586
240,0.9285160225991201,0.9495865419476143,0.9571039925338468,1.0012184664780586
245,0.9273576395624216,0.9489021473501219,0.9571039925338468,1.0012184664780586
250,0.9265947103348537,0.9482534482918716,0.9566603979025904,1.0012184664780586
255,0.9263166195922804,0.9476262316811218,0.9571860701360674,1.0012184664780586
260,0.9265699486385963,0.9470175874931578,0.9594086169587921,1.0012184664780586
265,0.9273406541958064,0.9464744576896101,0.9577566631014981,1.0012184664780586
270,0.9286136600154826,0.9460460539775934,0.9583370191180235,1.0012184664780586
275,0.9303724959101451,0.9458302451284404,0.9583370191180235,1.0012184664780586
280,0.9326279860332364,0.9459446189061202,0.9582490055431813,1.0012184664780586
285,0.935409899680116,0.9464948015067551,0.9583697336311486,1.0012184664780586
290,0.9387640821171505,0.9476137699677477,0.9583439161756844,1.0012184664780586
295,0.9428425728562837,0.9497333676395945,0.9595474976866317,1.0012184664780586
300,0.9454852618062798,0.9521168141098516,0.9656940783384063,1.0012184664780586
305,0.9477940923917189,0.9554348009794803,0.9736652135277457,1.0012184664780586
310,0.9497534942889356,0.95483169580217,0.9792631203564598,1.0012184664780586
315,0.9498034900901999,0.9550741685782079,0.9775876716882989,1.0012184664780586
320,0.9636945829153933,0.9692370676901085,0.9950409746525741,1.0012184664780586
325,0.9638434738818695,0.9695257456742777,0.9962725052181726,1.0012184664780586
330,0.9640606066059811,0.9697899864919932,0.9949536048741275,1.0012184664780586
335,0.964264532797027,0.9699629681729569,0.9950304047326187,1.0012184664780586
340,0.9640108985251928,0.9696431959889922,0.9954829844167772,1.0012184664780586
345,0.9623977223510779,0.9679440767067976,0.9927158551080879,1.0012184664780586
350,0.9618350392849003,0.9673168902361695,0.9929645325512032,1.0012184664780586
355,0.9611656402016684,0.9664173397736099,0.9926088261636393,1.0012184664780586
360,0.9679226837854594,0.9725656573363508,0.9856022836689584,1.0012184664780586
365,0.9655996963488829,0.9716184096180457,0.9782866881643723,1.0012184664780586
370,0.9646605916947707,0.9711772950297449,0.9779384838374686,1.0012184664780586
375,0.95954491520886,0.9664237680832531,0.9769058237329173,1.0012184664780586
380,0.961870934462378,0.969065467719259,0.9792888631985581,1.0012184664780586
385,0.962247815441681,0.9690794420385561,0.9798217155825072,1.0012184664780586
390,0.9663105920112385,0.9728610058044956,0.9949444303258637,1.0012184664780586
395,0.9664616409112134,0.972966086700603,0.9950038015406928,1.0012184664780586
400,0.9665946992476956,0.9730779658756794,0.9963888389165663,1.0012184664780586
405,0.9666840776546878,0.9731712071094162,0.9976349191017465,1.0012184664780586
410,0.9667080524904795,0.9732287144261685,0.9983895806267331,1.0012184664780586
415,0.9666556836408119,0.9732349403580777,0.9985001929661053,1.0012184664780586
420,0.9665123184183433,0.9732001676585578,0.9969201305130059,1.0012184664780586
425,0.966174715500785,0.973181228025073,0.9972957399617285,1.0012184664780586
430,0.9629008319939436,0.9718323853531012,0.9984866366579486,1.0012184664780586
435,0.9541983133150259,0.9633608143528483,0.9839036209755089,1.0012184664780586
440,0.9546323222901317,0.9637370270755473,0.9842778129893839,1.0012184664780586
445,0.9580227543935104,0.967084053446134,0.9925444857270612,1.0012184664780586
450,0.9679329319688588,0.9760489863907256,0.9964750313876691,1.0012184664780586
455,0.9683525207364553,0.9760489063116885,0.991565392360098,1.0012184664780586
460,0.9692702148299144,0.9764575914384065,0.9884849565027819,1.0012184664780586
465,0.9692455522230834,0.9766192522065765,0.9884849565027819,1.0012184664780586
470,0.9691127557079352,0.9767200230269844,0.9884705887168095,1.0012184664780586
475,0.9679262909834249,0.9765418512088496,0.9841296831797676,1.0012184664780586
480,0.9670612766616503,0.9757927514302764,0.9869111047135012,1.0012184664780586
485,0.9655741512004433,0.9751367733914655,0.9895615781204279,1.0012184664780586
490,0.9642129586104404,0.976005894353003,0.9878208524805353,1.0012184664780586
495,0.9638720032463077,0.9776988699245676,0.9747002849094597,1.0012184664780586
500,0.9655708550761993,0.979610149413016,0.9772915668139981,1.0012184664780586
505,0.966438577295374,0.9804903491290508,0.9769602630907721,1.0012184664780586
